time,temperature_c,relative_humidity,wind_speed_kmh,date,hour,temp_category,feels_like_c
2025-12-11 00:00:00,-0.9,88,6.4,2025-12-11,0,very_cold,-2.66
2025-12-11 01:00:00,-1.0,87,7.5,2025-12-11,1,very_cold,-2.74
2025-12-11 02:00:00,-1.0,87,8.0,2025-12-11,2,very_cold,-2.74
2025-12-11 03:00:00,-1.1,87,7.8,2025-12-11,3,very_cold,-2.84
2025-12-11 04:00:00,-1.2,88,7.3,2025-12-11,4,very_cold,-2.96
2025-12-11 05:00:00,-1.2,89,6.7,2025-12-11,5,very_cold,-2.98
2025-12-11 06:00:00,-1.3,89,7.1,2025-12-11,6,very_cold,-3.08
2025-12-11 07:00:00,-1.2,87,2.9,2025-12-11,7,very_cold,-2.94
2025-12-11 08:00:00,-1.3,89,4.3,2025-12-11,8,very_cold,-3.08
2025-12-11 09:00:00,-1.3,89,5.4,2025-12-11,9,very_cold,-3.08
2025-12-11 10:00:00,-1.3,90,6.1,2025-12-11,10,very_cold,-3.1
2025-12-11 11:00:00,-1.2,90,6.4,2025-12-11,11,very_cold,-3.0
2025-12-11 12:00:00,-1.2,90,6.4,2025-12-11,12,very_cold,-3.0
2025-12-11 13:00:00,-1.2,90,6.4,2025-12-11,13,very_cold,-3.0
2025-12-11 14:00:00,-1.1,90,7.0,2025-12-11,14,very_cold,-2.9000000000000004
2025-12-11 15:00:00,-1.0,89,7.5,2025-12-11,15,very_cold,-2.7800000000000002
2025-12-11 16:00:00,-1.0,88,8.3,2025-12-11,16,very_cold,-2.76
2025-12-11 17:00:00,-1.0,89,8.7,2025-12-11,17,very_cold,-2.7800000000000002
2025-12-11 18:00:00,-1.0,90,9.5,2025-12-11,18,very_cold,-2.8
2025-12-11 19:00:00,-1.0,91,9.8,2025-12-11,19,very_cold,-2.8200000000000003
2025-12-11 20:00:00,-1.1,91,10.1,2025-12-11,20,very_cold,-2.92
2025-12-11 21:00:00,-1.1,91,10.7,2025-12-11,21,very_cold,-2.92
2025-12-11 22:00:00,-1.1,90,10.7,2025-12-11,22,very_cold,-2.9000000000000004
2025-12-11 23:00:00,-1.1,90,11.0,2025-12-11,23,very_cold,-2.9000000000000004
